project_name,Smart contract address,Blog post link,Audit website,Chain,Is_closed_source,hidden_owner,anti_whale_modifiable,Is_anti_whale,Is_honeypot,buy_tax,sell_tax,slippage_modifiable,Is_blacklisted,can_take_back_ownership,owner_change_balance,is_airdrop_scam,selfdestruct,trust_list,is_whitelisted,is_fake_token,illegal_unicode,exploitation,bad_contract,reusing_state_variable,encode_packed_collision,encode_packed_parameters,centralized_risk_medium,centralized_risk_high,centralized_risk_low,event_setter,external_dependencies,immutable_states,reentrancy_without_eth_transfer,incorrect_inheritance_order,shadowing_local,events_maths,Summary/rationale of risk tags marked true
Data Analytics,0e95242dceab8815a44767f6ef2b20a693765e56,https://hacken.io/research/,https://hacken.io/audits/sock/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I tagged centralized risk low and medium because there was mention of roles in the audit that gave a select person/group of people power. This also led me to tag trust list because it requires a level of trust in these people to interact with this contract. Finally, I tagged take ownership back because the audit noted that the Registry Owner can change the Owner of the contract if recovery is enabled, which makes it appear like there may be a loophole for an owner to gain ownership after giving it up."
Data Analytics,8009b2e,https://hacken.io/research/,https://hacken.io/audits/sock/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I tagged centralized risk low and medium because there was mention of roles in the audit that gave a select person/group of people power. This also led me to tag trust list because it requires a level of trust in these people to interact with this contract. Finally, I tagged take ownership back because the audit noted that the Registry Owner can change the Owner of the contract if recovery is enabled, which makes it appear like there may be a loophole for an owner to gain ownership after giving it up."
Data Analytics,7ef2853d21049986beefaec4f2405814319f7cfb,https://consensys.io/diligence/research/,https://consensys.io/diligence/audits/2023/12/web3-tickets/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bad contract and exploitation were tagged because the audit found multiple issues that could be exploited, including flooding support with tickets, and an issue where connected websites can impersonate the user. And the websites mention make me worry about external dependencies."
Data Analytics,CS-MKPSML-001,https://chainsecurity.com/blog/,https://chainsecurity.com/security-audit/makerdao-psm-lite/,Ethereum,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"There's a fee for swapping tokens, so I marked buy/sell tax. There is also a way to have an address have the fee waived, so whitelist was tagged. There appears to be admin privileges as well, which requires trust and suggests centralization. There is a limit to the amount of Dai that can be had, and there's no fee on small swaps, which both seem anti whale."
Data Analytics,8009b2e,https://hacken.io/research/,https://hacken.io/audits/sock/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I tagged centralized risk low and medium because there was mention of roles in the audit that gave a select person/group of people power. This also led me to tag trust list because it requires a level of trust in these people to interact with this contract. Finally, I tagged take ownership back because the audit noted that the Registry Owner can change the Owner of the contract if recovery is enabled, which makes it appear like there may be a loophole for an owner to gain ownership after giving it up."
Data Analytics,856cce0,https://hacken.io/research/,https://hacken.io/audits/sock/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"From the audit, I found there was an owner and manager role. The owner assigns the manager role, and the manager can pause and start the contract. This isn't a lot of influence over the contract workings, so I only tagged centralization low, but it does require that you trust the two people in these roles, so I tagged trust_list."
Data Analytics,3e2f867,https://hacken.io/research/,https://hacken.io/audits/sock/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"The audit found the contract to be overall very secure, however there was one privileged role Owner that had the power to transfer ownership, register new features, pause and unpause new features, register new souls, change souls addresses, allow and disallow souls to manage their address list, update address per soul limit. This seems highly centralized with responsibility, because one role manages all of these responsibilities, so I tagged high centralization risk (including other two centralization risk levels)."
Data Analytics,a935e276f5620b40802b52721e3474232e458f72,https://blog.openzeppelin.com/optimism-smart-contracts-audit,https://www.openzeppelin.com/,Optimism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"The system overview section of the audit suggests that external contracts may be being relied on, also the sequencer is an off chain trusted service (found in privileged roles section) so external dependencies, and trustlist were tagged. There also appears to be two privileged roles, the sequencer (seen above), and the owner, with the latter being able to modify, add, and delete addresses, giving a lot of power. There is also a whitelist of accounts who can propose state roots, so whitelist was tagged. I tagged exploitation because there was a critical issue that allowed anyone to access certain functions after using the run() function with invalid gas limit."
Data Analytics,4204075301856f7412f07746c937343fb31cb7b8,https://consensys.io/diligence/audits/2024/04/tezoro-snap/,https://consensys.io/diligence/research/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exploitation was selected because the audit found an issue where a malicious dApp could exploit the contract, impersonate a user, and take their funds. Bad contract was also tagged, because someone being able to steal your funds as a user is simply not good from a user perspective."
Data Analytics,606577457191973b46034602f46ddcc130a5c0ac,https://consensys.io/diligence/audits/2021/03/optimism-safetychecker/,https://consensys.io/,Ethereum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"From what I read from the audit, the contract being reviewed here is a safety checker that determines if a byte code is safe. In the audit I did see mentions of a self-destruct but I'm pretty sure it wasn't referencing something that exists in this particular contract."
